hotel_names,star_rating,distance_from_center,swimmingpool,breakfast,breakfast_and_dinner,free_cancellation,address,Air conditioning,Heating,WiFi is available in all areas and is free of charge.,City view,Wardrobe or closet,Soundproofing,TV,Coffee machine,Private bathroom,Lift,Safety deposit box,Pets are allowed. Charges may be applicable.,24-hour front desk,Bar,Room service,Fitness centre,Spa lounge/relaxation area,Electric kettle,Minibar,Tea/Coffee maker,Restaurant,Parking garage,Airport shuttle,Non-smoking rooms,24-hour security,Towels,Facilities for disabled guests,Hairdryer,Iron,Electric vehicle charging station,city
Villa Florentine,5,800,1,1,0,1,"25 Montée St Barthélémy, 5th arr., 69005 Lyon, France",1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,2
Best Western Hotel du Pont Wilson,4,700,0,1,0,1,"6, rue Mazenod, 3rd arr., 69003 Lyon, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,2
"Hotel De Verdun 1882, BW Signature Collection",3,900,0,0,0,1,"82 Rue de la Charité, 2nd arr., 69002 Lyon, France",1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,2
Campanile Lyon Centre - Berges du Rhône,3,800,0,1,0,1,"4-6, rue Mortier, 3rd arr., 69003 Lyon, France",1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,2
Warwick Reine Astrid - Lyon,4,2300,0,1,0,1,"24 Boulevard des Belges, 6th arr., 69006 Lyon, France",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,2
La Résidence,3,300,0,1,0,1,"18, Rue Victor Hugo, 2nd arr., 69002 Lyon, France",1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,2
"InterContinental Lyon - Hotel Dieu, an IHG Hotel",5,400,0,1,0,1,"20 Quai Jules Courmont, 2nd arr., 69002 Lyon, France",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,2
Hotel Saint Vincent,3,1200,0,0,0,1,"9 rue Pareille, 1st arr., 69001 Lyon, France",1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2
Hôtel Lyon Métropole,4,3600,0,1,0,1,"85 quai Joseph Gillet, 4th arr., 69004 Lyon, France",1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,2
Residence Montempo Lyon Cite Internationale,0,3600,0,0,0,1,"35 Quai Charles de Gaulle, 6th arr., 69006 Lyon, France",1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,2
